#Name	Accession	Start	Stop	Strand	GeneID	Locus	Locus tag	Protein product	Length	Protein Name
chromosome 1	NC_003070.9	3760	5630	+	839580	NAC001	AT1G01010	NP_171609.1	429	NAC domain containing protein 1
chromosome 1	NC_003070.9	6915	8666	-	839569	ARV1	AT1G01020	NP_001318899.1	245	ARV1 family protein
chromosome 1	NC_003070.9	11864	12940	-	839321	NGA3	AT1G01030	NP_171611.1	358	AP2/B3-like transcriptional factor family protein
chromosome 1	NC_003070.9	23519	31079	+	839574	DCL1	AT1G01040	NP_001184881.1	1910	dicer-like 1
chromosome 1	NC_003070.9	31382	32670	-	839579	PPa1	AT1G01050	NP_001322481.1	212	pyrophosphorylase 1
chromosome 1	NC_003070.9	33992	37061	-	839341	LHY	AT1G01060	NP_001320627.1	645	Homeodomain-like superfamily protein
chromosome 1	NC_003070.9	38898	40877	-	839550	UMAMIT28	AT1G01070	NP_563617.1	365	nodulin MtN21 /EamA-like transporter family protein
chromosome 1	NC_003070.9	45503	46789	-	839463		AT1G01080	NP_001030925.1	294	RNA-binding (RRM/RBD/RNP motifs) family protein
chromosome 1	NC_003070.9	47705	49166	-	839429	PDH-E1 ALPHA	AT1G01090	NP_171617.1	428	pyruvate dehydrogenase E1 alpha
chromosome 1	NC_003070.9	50284	50954	-	839410		AT1G01100	NP_001077439.1	112	60S acidic ribosomal protein family
chromosome 1	NC_003070.9	52239	54494	+	839394	IQD18	AT1G01110	NP_001117204.1	527	IQ-domain 18
chromosome 1	NC_003070.9	57392	58978	-	839395	KCS1	AT1G01120	NP_171620.2	528	3-ketoacyl-CoA synthase 1
chromosome 1	NC_003070.9	61905	63811	-	839359		AT1G01130	NP_171621.2	124	CBL-interacting Serine/Threonine-kinase
chromosome 1	NC_003070.9	64398	67512	-	839349	CIPK9	AT1G01140	NP_849571.1	451	CBL-interacting protein kinase 9
chromosome 1	NC_003070.9	70115	71998	-	839294		AT1G01150	NP_171623.1	345	Homeodomain-like protein with RING/FYVE/PHD-type zinc finger domain-containing protein
chromosome 1	NC_003070.9	72583	73883	+	839278	GIF2	AT1G01160	NP_001154298.1	229	GRF1-interacting factor 2
chromosome 1	NC_003070.9	74105	74443	-	839263		AT1G01170	NP_171625.1	83	ozone-responsive stress-like protein (DUF1138)
chromosome 1	NC_003070.9	75633	76556	+	839239		AT1G01180	NP_171626.2	307	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
chromosome 1	NC_003070.9	83045	84879	-	839233	CYP78A8	AT1G01190	NP_171627.2	540	cytochrome P450	 family 78	 subfamily A	 polypeptide 8
chromosome 1	NC_003070.9	86715	88145	-	839493	RABA3	AT1G01200	NP_171628.2	237	RAB GTPase homolog A3
chromosome 1	NC_003070.9	88977	89529	+	839481		AT1G01210	NP_001322609.1	106	DNA-directed RNA polymerase	 subunit M	 archaeal
chromosome 1	NC_003070.9	91750	95552	+	839420	FKGP	AT1G01220	NP_001320982.1	1055	L-fucokinase/GDP-L-fucose pyrophosphorylase
chromosome 1	NC_003070.9	96064	97242	+	839358		AT1G01225	NP_563621.1	260	NC domain-containing protein-like protein
chromosome 1	NC_003070.9	97620	99046	+	839331		AT1G01230	NP_563622.1	157	ORMDL family protein
chromosome 1	NC_003070.9	100683	101678	+	839274		AT1G01240	NP_001320620.1	331	transmembrane protein
